"","group","n","mean.size","min.size","max.size","sd.size"
"1","Gm.GO",100,0.00110211309087621,0.0009587657066462,0.00118509660163261,5.33402233034106e-05
"2","Gm.RB",100,0.00380482246653056,0.00380482246653056,0.00380482246653056,0
"3","Nm.GR",100,0.00470217896064716,0.0040611828186598,0.00502196728633353,0.000190991315088648
"4","Nm.RY",100,0.00266630367413657,0.00266630367413657,0.00266630367413657,0
"5","Om.NO",100,0.00850111587738813,0.00787513331318916,0.00906582797082134,0.000306494738346478
"6","Om.YR",100,0.00123240529128607,0.00105018899566269,0.00136296157806024,8.69809272402074e-05
"7","Rm.RR",100,0.0057234799614769,0.00559585545922819,0.00580856341528072,5.77204800267638e-05
"8","Rm.YB",100,0.00346934640269401,0.00312396243750861,0.00362927163265796,0.000127981859455088
"9","Ym.NG",100,0.005176088140096,0.00466737622325542,0.00566602481242743,0.00026136181599556
"10","Ym.WG",100,0.00449141907857429,0.00433683653359283,0.00461763889907726,7.21515994940937e-05
